Q (mW/m2),U (mW/m2),X,Y,Lat,Lon
59.856,25.013,2539759,-683950,-66.13,105.072
64.483,24.273,2535743,-679938,-66.173,105.01
61.354,25.251,2539759,-679938,-66.139,104.988
67.667,23.599,2503614,-675925,-66.456,105.109
67.789,23.598,2507630,-675925,-66.422,105.085
69.125,23.971,2511646,-675925,-66.388,105.062
62.366,27.009,2515662,-675925,-66.353,105.039
64.941,28.017,2523694,-675925,-66.285,104.994
65.56,28.312,2527710,-675925,-66.251,104.971
65.657,28.073,2531727,-675925,-66.216,104.948
66.66,25.021,2535743,-675925,-66.182,104.926
62.646,25.486,2539759,-675925,-66.148,104.903
62.768,25.992,2543775,-675925,-66.114,104.881
66.971,23.557,2495582,-671913,-66.534,105.069
68.542,23.797,2499598,-671913,-66.5,105.046
68.598,23.697,2503614,-671913,-66.465,105.023
69.317,23.803,2507630,-671913,-66.431,105.0
70.43,24.123,2511646,-671913,-66.397,104.977
70.612,24.339,2515662,-671913,-66.363,104.954
64.379,27.665,2519678,-671913,-66.328,104.931
64.398,27.721,2523694,-671913,-66.294,104.909
68.258,28.854,2527710,-671913,-66.26,104.886
68.071,28.573,2531727,-671913,-66.226,104.863
67.951,28.301,2535743,-671913,-66.191,104.841
67.479,25.462,2539759,-671913,-66.157,104.819
64.036,26.151,2543775,-671913,-66.123,104.796
67.625,24.028,2491566,-667901,-66.577,105.006
68.295,23.805,2495582,-667901,-66.543,104.983
69.97,23.921,2499598,-667901,-66.509,104.96
70.72,23.984,2503614,-667901,-66.475,104.937
71.003,23.972,2507630,-667901,-66.44,104.914
68.002,23.399,2511646,-667901,-66.406,104.892
69.318,23.705,2515662,-667901,-66.372,104.869
72.123,24.847,2519678,-667901,-66.337,104.846
66.051,28.33,2523694,-667901,-66.303,104.824
69.434,28.77,2527710,-667901,-66.269,104.801
70.622,29.043,2531727,-667901,-66.235,104.779
69.975,28.872,2535743,-667901,-66.2,104.756
70.222,28.997,2539759,-667901,-66.166,104.734
68.551,30.733,2543775,-667901,-66.132,104.712
69.695,24.525,2479518,-663888,-66.689,104.989
64.5,24.121,2483534,-663888,-66.655,104.966
68.14,24.589,2487550,-663888,-66.621,104.943
67.974,24.128,2491566,-663888,-66.587,104.92
69.169,24.091,2495582,-663888,-66.552,104.897
72.075,24.306,2499598,-663888,-66.518,104.874
72.69,24.297,2503614,-663888,-66.484,104.851
71.983,23.981,2507630,-663888,-66.449,104.829
70.403,25.588,2511646,-663888,-66.415,104.806
71.258,25.54,2515662,-663888,-66.381,104.783
73.802,24.532,2519678,-663888,-66.346,104.761
69.124,29.115,2523694,-663888,-66.312,104.738
70.774,29.515,2527710,-663888,-66.278,104.716
72.867,29.757,2531727,-663888,-66.244,104.694
72.963,30.084,2535743,-663888,-66.209,104.671
72.333,30.029,2539759,-663888,-66.175,104.649
72.846,37.722,2543775,-663888,-66.141,104.627
68.701,30.606,2547791,-663888,-66.106,104.605
67.782,29.937,2551807,-663888,-66.072,104.583
67.98,27.43,2471486,-659876,-66.767,104.949
68.522,26.885,2475502,-659876,-66.733,104.926
69.017,25.941,2479518,-659876,-66.699,104.903
70.634,23.789,2483534,-659876,-66.664,104.88
71.685,28.366,2487550,-659876,-66.63,104.857
67.763,24.157,2491566,-659876,-66.596,104.834
69.512,24.128,2495582,-659876,-66.561,104.811
71.992,24.439,2499598,-659876,-66.527,104.788
73.589,24.503,2503614,-659876,-66.493,104.766
71.051,24.122,2507630,-659876,-66.458,104.743
70.694,24.704,2511646,-659876,-66.424,104.72
72.392,24.698,2515662,-659876,-66.39,104.698
74.642,24.829,2519678,-659876,-66.355,104.676
67.258,29.806,2523694,-659876,-66.321,104.653
66.748,30.511,2527710,-659876,-66.287,104.631
72.429,30.262,2531727,-659876,-66.253,104.609
74.642,31.29,2535743,-659876,-66.218,104.587
73.015,31.874,2539759,-659876,-66.184,104.564
72.413,29.462,2543775,-659876,-66.15,104.542
70.169,28.741,2547791,-659876,-66.115,104.521
68.376,29.789,2551807,-659876,-66.081,104.499
68.738,29.379,2555823,-659876,-66.047,104.477
68.381,27.106,2467470,-655864,-66.811,104.885
69.789,28.175,2471486,-655864,-66.776,104.862
70.203,27.383,2475502,-655864,-66.742,104.839
71.269,26.697,2479518,-655864,-66.708,104.816
71.069,25.855,2483534,-655864,-66.673,104.793
70.108,23.846,2487550,-655864,-66.639,104.77
77.047,24.162,2491566,-655864,-66.605,104.748
77.695,25.083,2495582,-655864,-66.57,104.725
76.051,28.055,2499598,-655864,-66.536,104.702
73.993,27.508,2503614,-655864,-66.502,104.68
73.181,26.17,2507630,-655864,-66.467,104.657
74.29,25.267,2511646,-655864,-66.433,104.635
75.314,25.123,2515662,-655864,-66.399,104.612
77.19,25.457,2519678,-655864,-66.364,104.59
75.404,26.187,2523694,-655864,-66.33,104.568
68.386,30.946,2527710,-655864,-66.296,104.546
71.308,31.01,2531727,-655864,-66.261,104.524
74.362,30.923,2535743,-655864,-66.227,104.502
74.662,30.812,2539759,-655864,-66.193,104.48
73.211,30.142,2543775,-655864,-66.158,104.458
71.284,29.504,2547791,-655864,-66.124,104.436
69.118,25.781,2551807,-655864,-66.09,104.414
68.194,25.54,2555823,-655864,-66.056,104.392
